Model,Accuracy,F1_macro,Precision,Recall,Training_time
TF-IDF + LR,0.7692743764172335,0.6701872709024462,0.6723446838503478,0.670501165849895,5.060401916503906
TF-IDF + SVM,0.780045351473923,0.6511469730170466,0.6542963561781944,0.6520932922221225,0.7299859523773193
NN Embedding,0.8100907029478458,0.580247106946337,0.5397850850440576,0.6272669007218056,37.34564828872681
